STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/2/2017,0.16,0,0,53,41
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/3/2017,0.2,0,0,43,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/4/2017,0.01,0,0,47,41
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/5/2017,0,0,0,54,36
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/6/2017,0.8,1.6,2,36,28
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/7/2017,0.02,0.5,1,33,25
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/8/2017,0.08,1.5,2,26,20
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/9/2017,0,0,0,25,15
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/10/2017,0,0,0,25,15
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/11/2017,0.25,0,0,40,20
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/12/2017,0.22,0,0,53,40
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/13/2017,0,0,0,66,47
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/14/2017,0,0,0,62,35
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/15/2017,0,0,0,36,30
